,HTAG,Date,WHH,FTHG,WHA,IWA,LBD,AwayTeam,IWD,HTHG,WHD,FTR,FTAG,Div,IWH,HTR,LBH,LBA,HomeTeam,SeasonDate
42,1,24/09/05,2.25,1,2.75,2.7,3.2,Villarreal,3,0,3.2,A,2,SP1,2.3,A,2.2,2.8,Espanol,2005
43,0,24/09/05,1.44,2,7,4.8,3.4,Sociedad,3.5,1,3.5,H,1,SP1,1.55,H,1.5,6,Valencia,2005
44,1,24/09/05,2.3,1,2.62,2.6,3.2,La Coruna,3,1,3.2,D,1,SP1,2.4,D,2.5,2.5,Zaragoza,2005
45,0,25/09/05,5,0,1.61,1.65,3.4,Real Madrid,3.3,0,3.3,A,3,SP1,4.4,D,6,1.5,Alaves,2005
46,0,25/09/05,1.7,0,4.33,4,3.25,Santander,3.2,0,3.3,D,0,SP1,1.75,D,1.67,4.5,Ath Bilbao,2005
47,0,25/09/05,2.25,2,2.8,2.9,3.2,Sevilla,3,2,3.1,H,1,SP1,2.2,H,2.2,2.8,Celta,2005
48,2,25/09/05,2,1,3.2,3.2,3.2,Malaga,3.1,0,3.2,A,4,SP1,2,A,2.2,2.8,Mallorca,2005
49,0,25/09/05,1.8,2,3.8,3.8,3.25,Cadiz,3.1,1,3.25,H,0,SP1,1.8,H,1.67,4.5,Osasuna,2005
50,0,01/10/05,1.33,2,8,8,3.75,Zaragoza,4.2,0,4,D,2,SP1,1.3,D,1.36,8,Barcelona,2005
51,1,01/10/05,2.62,2,2.37,2.5,3.2,Valencia,3,1,3.1,H,1,SP1,2.7,D,2.6,2.38,Getafe,2005
52,1,02/10/05,2.4,1,2.6,2.5,2.88,Celta,3,1,3.1,D,1,SP1,2.5,D,2.62,2.5,Cadiz,2005
53,1,02/10/05,1.66,0,4.5,4.6,3.2,Osasuna,3.4,0,3.3,A,1,SP1,1.6,A,1.67,5,La Coruna,2005
54,1,02/10/05,2.25,0,2.75,2.7,3.2,Ath Madrid,3,0,3.2,A,2,SP1,2.5,A,2.2,2.8,Malaga,2005
55,0,02/10/05,1.2,4,11,9,5,Mallorca,4.5,2,5,H,0,SP1,1.25,H,1.2,11,Real Madrid,2005
56,1,02/10/05,1.83,1,3.75,3.6,3.2,Alaves,3.1,0,3.2,A,2,SP1,1.85,A,1.73,4.33,Santander,2005
57,1,02/10/05,1.8,1,3.75,3.5,3.2,Espanol,3.1,0,3.3,D,1,SP1,1.9,A,1.8,4,Sevilla,2005
58,1,02/10/05,2.05,1,3.1,2.7,3.25,Betis,3,0,3.2,D,1,SP1,2.3,A,2.2,2.75,Sociedad,2005
59,1,02/10/05,1.8,3,4,4.3,3.25,Ath Bilbao,3.2,1,3.1,H,1,SP1,1.75,D,1.67,4.5,Villarreal,2005
60,1,15/10/05,2.62,1,2.37,2.4,3.2,Villarreal,3,1,3.1,D,1,SP1,2.8,D,2.6,2.38,Alaves,2005
61,1,15/10/05,3,0,2.15,2.1,3,Real Madrid,3.1,0,3.1,A,3,SP1,3.3,A,3.2,2.1,Ath Madrid,2005
62,2,15/10/05,3.1,3,2.1,2.1,3.2,Barcelona,3.1,1,3.1,D,3,SP1,3.3,A,3.2,2,La Coruna,2005
63,1,16/10/05,2.05,0,3.2,3.1,3.2,Sevilla,3,0,3.1,A,1,SP1,2.1,A,2.1,3,Ath Bilbao,2005
64,0,16/10/05,1.9,1,3.6,3.5,3.2,Getafe,3.1,1,3.1,H,0,SP1,2,H,1.91,3.5,Betis,2005
65,0,16/10/05,1.8,0,4,3.8,2.9,Cadiz,3.1,0,3.1,A,2,SP1,1.8,D,1.8,4.5,Espanol,2005
66,0,16/10/05,2.1,0,3.1,3.1,3.2,Santander,3,0,3.1,D,0,SP1,2.1,D,2.25,2.75,Mallorca,2005
67,0,16/10/05,2.1,2,3.1,3.1,3.2,Celta,3,0,3.1,H,0,SP1,2.1,D,2.1,3,Osasuna,2005
68,0,16/10/05,1.53,2,5.5,4.8,3.25,Malaga,3.5,1,3.5,H,1,SP1,1.55,H,1.57,5.5,Valencia,2005
69,1,16/10/05,1.83,0,4,3.8,3.2,Sociedad,3.1,0,3,A,1,SP1,1.8,A,1.73,4.33,Zaragoza,2005
70,0,22/10/05,1.3,3,8,8,3.75,Osasuna,4.2,0,4.33,H,0,SP1,1.3,D,1.36,8,Barcelona,2005
71,0,22/10/05,1.61,2,5,4.2,3.25,Alaves,3.2,1,3.3,H,0,SP1,1.7,H,1.67,4.5,Sevilla,2005
72,0,23/10/05,2.25,1,2.87,2.9,3,Ath Bilbao,3,1,3,H,0,SP1,2.2,H,2.1,3.2,Cadiz,2005
73,0,23/10/05,2,1,3.3,3.5,3.2,Espanol,3.1,0,3.1,H,0,SP1,1.9,D,1.73,4.33,Celta,2005
74,0,23/10/05,2.15,5,3.1,3.3,3.2,Zaragoza,3,4,3,H,2,SP1,2.1,H,2.1,3,Getafe,2005
75,0,23/10/05,2.37,5,2.7,2.6,3.2,Betis,3,2,3,H,0,SP1,2.4,H,2.38,2.6,Malaga,2005
76,2,23/10/05,1.61,1,5,5,3.25,Valencia,3.5,1,3.3,A,2,SP1,1.6,A,1.57,5.5,Real Madrid,2005
77,1,23/10/05,2.4,0,2.6,2.6,3.2,Ath Madrid,3,0,3.1,A,1,SP1,2.6,A,2.38,2.6,Santander,2005
78,0,23/10/05,2.3,2,2.8,2.7,3.2,La Coruna,3.1,0,3,H,0,SP1,2.4,D,2.25,2.75,Sociedad,2005
79,0,23/10/05,1.53,3,5.5,4.6,3.4,Mallorca,3.4,3,3.5,H,0,SP1,1.6,H,1.5,6,Villarreal,2005
80,0,26/10/05,1.22,2,9.5,8.5,4.5,Malaga,4.3,0,5,H,0,SP1,1.27,D,1.29,8,Barcelona,2005
81,1,26/10/05,2.25,2,2.8,2.9,3,Villarreal,3,1,3.1,A,3,SP1,2.2,D,2.2,3,Betis,2005
82,0,26/10/05,2.75,3,2.3,2.5,3.2,Real Madrid,3,2,3.1,H,1,SP1,2.7,H,3,2.1,La Coruna,2005
83,0,26/10/05,2.37,1,2.62,2.6,3.2,Celta,3,0,3.1,H,0,SP1,2.4,D,2.6,2.38,Mallorca,2005
84,1,26/10/05,1.83,3,3.75,3.6,3.2,Ath Bilbao,3.1,1,3.2,H,2,SP1,1.85,D,1.73,4.33,Osasuna,2005
85,1,27/10/05,2.25,1,2.8,2.9,3.2,Espanol,3,1,3.1,D,1,SP1,2.2,D,2.2,2.8,Alaves,2005
86,0,27/10/05,1.66,3,4.5,4,3.25,Cadiz,3.2,1,3.3,H,0,SP1,1.75,H,1.62,5,Ath Madrid,2005
87,0,27/10/05,1.95,3,3.5,3.1,3.2,Getafe,3,3,3.1,H,0,SP1,2.1,H,2.1,3,Sociedad,2005
88,1,27/10/05,1.72,0,4.5,4.4,3.25,Sevilla,3.3,0,3.1,A,2,SP1,1.65,A,1.67,4.5,Valencia,2005
89,0,27/10/05,1.83,1,4,3.6,3.2,Santander,3.1,1,3,D,1,SP1,1.85,H,1.73,4.33,Zaragoza,2005
90,0,29/10/05,2.15,1,3,2.7,3.2,Celta,3,1,3.1,D,1,SP1,2.3,H,2.25,2.75,Ath Bilbao,2005
91,1,29/10/05,3,0,2.15,2.4,3.25,Real Madrid,3.1,0,3.1,A,2,SP1,2.7,A,2.75,2.2,Betis,2005
92,0,30/10/05,2.2,0,2.87,2.9,3.2,Cadiz,3,0,3.1,D,0,SP1,2.2,D,2.2,2.8,Alaves,2005
93,0,30/10/05,2.15,1,3,2.9,3.2,Villarreal,3,1,3.1,D,1,SP1,2.2,H,2,3.2,Ath Madrid,2005
94,0,30/10/05,1.33,5,8,8,4,Sociedad,4.2,2,4,H,0,SP1,1.3,H,1.33,8,Barcelona,2005
95,0,30/10/05,1.72,1,4.33,3.8,3.2,Getafe,3.1,1,3.2,H,0,SP1,1.8,H,1.8,4,La Coruna,2005
96,1,30/10/05,2.6,1,2.4,2.5,3.2,Sevilla,3,1,3.1,D,1,SP1,2.5,D,2.75,2.25,Mallorca,2005
97,0,30/10/05,1.72,2,4.33,3.6,3.2,Espanol,3.1,1,3.2,H,0,SP1,1.85,H,1.8,4,Osasuna,2005
98,1,30/10/05,1.44,1,6.5,5.4,3.75,Santander,3.8,1,3.6,D,1,SP1,1.45,D,1.36,8,Valencia,2005
99,1,30/10/05,2,1,3.3,3.5,3.2,Malaga,3.1,1,3.1,D,1,SP1,1.9,D,2.1,3,Zaragoza,2005
100,1,05/11/05,2.1,1,3.1,2.8,3.2,Ath Bilbao,3.1,0,3.1,D,1,SP1,2.2,A,2,3.2,Espanol,2005
101,1,05/11/05,2,1,3.3,3.3,3.2,Osasuna,3.1,1,3.1,A,2,SP1,2.1,D,2.1,3,Sociedad,2005
102,0,05/11/05,2.3,1,2.75,3,3.2,Valencia,3,1,3.1,H,0,SP1,2.3,H,2.25,2.75,Villarreal,2005
103,1,06/11/05,2,1,3.3,3.2,3.2,Mallorca,3.1,1,3.1,A,2,SP1,2,D,1.91,3.5,Cadiz,2005
104,0,06/11/05,1.7,2,4.5,4,3.25,Alaves,3.2,1,3.2,H,1,SP1,1.75,H,1.62,5,Celta,2005
105,1,06/11/05,4.2,1,1.72,1.75,3.25,Barcelona,3.2,0,3.25,A,3,SP1,4.3,A,4.5,1.67,Getafe,2005
106,0,06/11/05,2.5,1,2.5,2.6,3.2,La Coruna,3,0,3.1,D,1,SP1,2.6,D,2.38,2.6,Malaga,2005
107,0,06/11/05,1.36,1,8,7.5,3.75,Zaragoza,4.2,0,3.75,H,0,SP1,1.35,D,1.4,7,Real Madrid,2005
108,1,06/11/05,2.2,1,2.8,2.6,3.2,Betis,3,0,3.2,D,1,SP1,2.4,A,2.25,2.75,Santander,2005
109,0,06/11/05,2.1,0,3.1,3.1,3.2,Ath Madrid,3,0,3.1,D,0,SP1,2.2,D,2,3.2,Sevilla,2005
110,0,19/11/05,2.25,0,2.8,2.8,3.2,Osasuna,3.1,0,3.1,D,0,SP1,2.2,D,2.25,2.75,Getafe,2005
111,1,19/11/05,2.37,0,2.7,2.9,3.2,Barcelona,3.1,0,3,A,3,SP1,2.3,A,2.38,2.6,Real Madrid,2005
112,0,19/11/05,2,1,3.6,3.5,3.2,Betis,3.1,0,2.87,H,0,SP1,2,D,1.91,3.5,Sevilla,2005
113,0,19/11/05,1.8,0,4.2,4,3.2,Zaragoza,3.2,0,3,D,0,SP1,1.75,D,1.73,4.33,Villarreal,2005
114,1,20/11/05,1.8,0,4,3.6,3.25,Alaves,3.1,0,3.1,A,2,SP1,1.85,A,1.8,3.75,Ath Bilbao,2005
115,0,20/11/05,3,0,2.2,2.5,3,Valencia,3,0,3,A,1,SP1,2.7,D,3,2.2,Cadiz,2005
116,0,20/11/05,2.3,2,2.8,3.1,3,Ath Madrid,3,1,3,H,1,SP1,2.2,H,2.2,3,Celta,2005
117,0,20/11/05,2.1,2,3.1,2.9,3.2,Mallorca,3,2,3.1,H,0,SP1,2.2,H,2,3.2,Espanol,2005
118,0,20/11/05,2.1,3,3.1,2.9,3.2,Sociedad,3,0,3.1,H,1,SP1,2.2,D,2,3.2,Malaga,2005
119,1,20/11/05,2.7,0,2.37,2.5,3,La Coruna,3,0,3,A,3,SP1,2.7,A,2.75,2.38,Santander,2005
120,0,26/11/05,2.1,0,3.2,2.8,3.2,Ath Bilbao,3.1,0,3,A,1,SP1,2.2,D,1.91,3.5,Mallorca,2005
121,0,26/11/05,1.8,2,4.2,4.2,3.25,Celta,3.2,0,3,H,0,SP1,1.7,D,1.67,4.5,Valencia,2005
122,1,27/11/05,1.8,1,4.2,4.3,3.2,Espanol,3.2,1,3,D,1,SP1,1.75,D,1.67,5,Ath Madrid,2005
123,0,27/11/05,1.16,4,12,12,6,Santander,6,1,5.5,H,1,SP1,1.15,H,1.14,12,Barcelona,2005
124,0,27/11/05,1.8,1,4.2,3.8,3.1,Cadiz,3.1,1,3,D,1,SP1,1.8,H,1.73,4.5,Betis,2005
125,1,27/11/05,2.15,3,3.1,3.2,3.2,Malaga,3.1,2,3,H,2,SP1,2,H,2,3.2,Getafe,2005
126,0,27/11/05,2.1,0,3.2,3.3,3.2,Villarreal,3.1,0,3,A,2,SP1,2.1,D,1.91,3.5,La Coruna,2005
127,0,27/11/05,1.7,3,4.5,4.4,3.25,Alaves,3.3,0,3.2,H,2,SP1,1.65,D,1.57,5.5,Osasuna,2005
128,0,27/11/05,3.2,2,2.05,2.2,3.2,Real Madrid,3.1,1,3.1,D,2,SP1,3,H,3.2,2,Sociedad,2005
129,0,27/11/05,2.4,0,2.75,2.8,3,Sevilla,3,0,2.9,A,2,SP1,2.4,D,2.38,2.75,Zaragoza,2005
130,1,03/12/05,2.15,1,3.1,2.9,3.2,Ath Madrid,3.1,0,3,D,1,SP1,2.3,A,2.38,2.6,Ath Bilbao,2005
131,0,03/12/05,1.83,2,3.75,3.8,3.2,Betis,3.1,2,3.2,H,1,SP1,1.8,H,1.73,4.33,Celta,2005
132,0,03/12/05,1.36,1,8,7.5,3.75,Getafe,4.2,1,3.75,H,0,SP1,1.35,H,1.4,7,Real Madrid,2005
133,1,04/12/05,2.15,0,3.1,2.9,3.2,Mallorca,3,0,3,A,3,SP1,2.2,A,2,3.2,Alaves,2005
134,0,04/12/05,2.2,1,3,2.8,3,Zaragoza,2.9,1,3,A,2,SP1,2.3,H,2.2,3,Cadiz,2005
135,2,04/12/05,2.8,1,2.3,2.5,3.2,Valencia,3,0,3,A,3,SP1,2.7,A,2.6,2.38,Espanol,2005
136,2,04/12/05,2.37,1,2.7,2.7,3.2,Osasuna,3,1,3,A,2,SP1,2.3,A,2.38,2.6,Malaga,2005
137,1,04/12/05,2.37,2,2.7,2.6,3.2,Sociedad,3,0,3,D,2,SP1,2.4,A,2.38,2.6,Santander,2005
138,2,04/12/05,2,0,3.4,3.4,3.2,La Coruna,3,0,3,A,2,SP1,2.1,A,1.91,3.5,Sevilla,2005
139,1,04/12/05,3.4,0,1.9,1.9,3.2,Barcelona,3.1,0,3.25,A,2,SP1,3.7,A,3.75,1.83,Villarreal,2005
140,1,10/12/05,2.37,1,2.62,2.5,3.2,Villarreal,3,1,3.1,A,3,SP1,2.5,D,2.5,2.5,Sociedad,2005
141,0,10/12/05,1.53,1,5.5,4.8,3.6,Ath Bilbao,3.5,0,3.5,D,1,SP1,1.55,D,1.44,6.5,Valencia,2005
142,0,11/12/05,1.66,1,5,4.4,3.25,Alaves,3.3,0,3.1,D,1,SP1,1.65,D,1.57,5.5,Ath Madrid,2005
143,0,11/12/05,1.36,2,8,7,4,Sevilla,4,0,3.75,H,1,SP1,1.35,D,1.33,8,Barcelona,2005
144,0,11/12/05,2.1,0,3.2,3.1,3.2,Espanol,3,0,3,D,0,SP1,2.1,D,1.91,3.5,Betis,2005
145,1,11/12/05,1.8,1,4,3.8,3.2,Santander,3.1,1,3.1,A,2,SP1,1.8,D,1.73,4.33,Getafe,2005
146,0,11/12/05,1.61,1,5.5,4.8,3.4,Cadiz,3.5,0,3.1,H,0,SP1,1.55,D,1.5,6,La Coruna,2005
147,2,11/12/05,3.5,0,1.9,1.85,3.2,Real Madrid,3.1,0,3.2,A,2,SP1,3.6,A,3.75,1.83,Malaga,2005
148,0,11/12/05,1.6,1,4.8,4.4,3.4,Mallorca,3.3,1,3.4,H,0,SP1,1.65,H,1.5,6,Osasuna,2005
149,0,11/12/05,2.37,1,2.7,2.6,3.2,Celta,3,0,3,H,0,SP1,2.4,D,2.25,2.75,Zaragoza,2005
150,0,17/12/05,2.1,2,3.2,3.2,3.2,Betis,3.1,2,3,H,0,SP1,2,H,1.91,3.5,Ath Bilbao,2005
151,2,17/12/05,8,1,1.36,1.4,4,Barcelona,3.9,0,3.75,A,3,SP1,6,A,8,1.33,Cadiz,2005
152,3,17/12/05,2.3,0,2.8,2.7,3.2,La Coruna,3,0,3,A,3,SP1,2.3,A,2.2,2.8,Celta,2005
153,1,18/12/05,3.75,0,1.9,2,3.2,Valencia,3,0,3,A,1,SP1,3.3,A,3.5,1.91,Alaves,2005
154,0,18/12/05,2.3,2,2.9,3,3.2,Zaragoza,2.9,0,2.9,D,2,SP1,2.2,D,2.2,2.8,Espanol,2005
155,2,18/12/05,2.4,2,2.6,2.6,3,Ath Madrid,3,1,3.1,D,2,SP1,2.4,A,2.38,2.75,Mallorca,2005
156,0,18/12/05,1.53,1,5.5,4.8,3.4,Osasuna,3.5,0,3.5,D,1,SP1,1.55,D,1.5,6,Real Madrid,2005
157,1,18/12/05,2.2,1,3,3.1,3.2,Malaga,3,1,3,D,1,SP1,2.1,D,2.1,3,Santander,2005
158,1,18/12/05,1.8,3,4,4,3.25,Sociedad,3.2,0,3.1,H,2,SP1,1.75,A,1.62,5,Sevilla,2005
159,1,18/12/05,1.57,2,5.5,4.8,3.25,Getafe,3.5,1,3.3,H,1,SP1,1.55,D,1.5,6.5,Villarreal,2005
160,0,20/12/05,1.25,2,10,9,5,Celta,4.5,1,4.5,H,0,SP1,1.25,H,1.22,10,Barcelona,2005
161,0,21/12/05,1.8,3,3.8,3.8,3.2,Alaves,3.1,1,3.25,H,0,SP1,1.8,H,1.83,3.75,Betis,2005
162,0,21/12/05,2.4,1,2.5,2.5,3.2,Sevilla,3,1,3.25,H,0,SP1,2.5,H,2.6,2.38,Getafe,2005
163,0,21/12/05,1.57,1,5.5,4.8,3.4,Espanol,3.3,0,3.3,A,2,SP1,1.6,D,1.5,6,La Coruna,2005
164,0,21/12/05,2.75,0,2.25,2.3,3.2,Villarreal,3,0,3.2,D,0,SP1,2.7,D,3,2.1,Malaga,2005
165,2,21/12/05,1.28,1,8,9,4,Santander,4.5,0,4.5,A,2,SP1,1.25,A,1.3,9,Real Madrid,2005
166,0,21/12/05,1.8,2,3.8,3.8,3.2,Cadiz,3.1,1,3.25,H,0,SP1,1.8,H,1.67,5,Sociedad,2005
167,0,21/12/05,1.44,3,6.5,6,3.25,Mallorca,3.9,0,3.6,H,0,SP1,1.4,D,1.5,6.5,Valencia,2005
168,1,21/12/05,1.9,3,3.4,3.1,3.25,Ath Bilbao,3,0,3.25,H,2,SP1,2.1,A,1.91,3.4,Zaragoza,2005
169,1,22/12/05,1.72,2,4.2,4.2,3.2,Ath Madrid,3.1,2,3.25,H,1,SP1,1.75,H,1.73,4.33,Osasuna,2005
170,1,07/01/06,2.5,1,2.62,2.55,3.2,La Coruna,3.1,0,2.9,A,2,SP1,2.55,A,2.5,2.5,Ath Bilbao,2005
171,1,07/01/06,6.5,1,1.44,1.5,3.6,Barcelona,3.5,0,3.6,A,2,SP1,5.5,A,6.5,1.44,Espanol,2005
172,0,08/01/06,2.5,0,2.62,2.7,3.1,Zaragoza,3,0,2.9,A,2,SP1,2.5,D,2.6,2.4,Alaves,2005
173,0,08/01/06,2.7,0,2.37,2.2,3.2,Valencia,3.1,0,3,D,0,SP1,3,D,2.75,2.25,Ath Madrid,2005
174,0,08/01/06,2.4,1,2.6,2.8,3.2,Getafe,3,1,3.1,H,0,SP1,2.4,H,2.38,2.6,Cadiz,2005
175,0,08/01/06,1.8,1,4,4,3.2,Sociedad,3.2,1,3.1,H,0,SP1,1.8,H,1.8,4,Celta,2005
176,1,08/01/06,2.2,1,3,3.2,3.2,Betis,3.1,1,3,D,1,SP1,2.1,D,2.25,2.75,Mallorca,2005
177,1,08/01/06,1.57,1,5.5,4.5,3.5,Santander,3.3,1,3.3,D,1,SP1,1.7,D,1.57,5,Osasuna,2005
178,0,08/01/06,1.66,3,5,4.5,3.25,Malaga,3.5,1,3.1,H,1,SP1,1.65,H,1.67,4.5,Sevilla,2005
179,0,08/01/06,2.3,0,2.62,2.7,3.2,Real Madrid,3.1,0,3.2,D,0,SP1,2.4,D,2.5,2.5,Villarreal,2005
180,0,14/01/06,2.2,1,3,3.3,3,Ath Madrid,2.8,1,3,H,0,SP1,2.2,H,2.2,3,Betis,2005
181,0,14/01/06,1.7,2,4.5,4,3.1,Osasuna,3.1,1,3.2,H,0,SP1,1.8,H,1.73,4.5,Valencia,2005
182,1,15/01/06,1.2,2,11,12,5.5,Ath Bilbao,5,1,5,H,1,SP1,1.2,D,1.17,12,Barcelona,2005
183,0,15/01/06,2.15,1,3.1,3.1,3.2,Celta,3,1,3,D,1,SP1,2.2,H,2.2,2.8,Getafe,2005
184,1,15/01/06,1.5,0,6,7,3.6,Alaves,3.8,0,3.4,A,2,SP1,1.4,A,1.44,6.5,La Coruna,2005
185,2,15/01/06,1.95,0,3.6,3.8,3,Cadiz,3.1,0,3,A,2,SP1,1.9,A,2,3.5,Malaga,2005
186,0,15/01/06,1.6,4,4.8,5,3.5,Sevilla,3.5,1,3.4,H,2,SP1,1.6,H,1.57,5,Real Madrid,2005
187,0,15/01/06,2.8,1,2.3,2.4,3,Villarreal,2.9,1,3,H,0,SP1,2.9,H,2.75,2.38,Santander,2005
188,0,15/01/06,2.1,0,3.2,3.3,3.2,Espanol,3,0,3,A,1,SP1,2.1,D,2,3.2,Sociedad,2005
189,0,15/01/06,1.72,3,4.33,4,3.2,Mallorca,3.1,2,3.2,H,1,SP1,1.8,H,1.67,5,Zaragoza,2005
190,0,21/01/06,1.25,3,8,10,4.5,Cadiz,5,0,5,H,1,SP1,1.22,D,1.25,10,Real Madrid,2005
191,1,21/01/06,1.95,0,3.6,3.4,3.2,Ath Madrid,3.1,0,3,A,2,SP1,2,A,1.83,3.75,Zaragoza,2005
192,0,22/01/06,1.12,2,15,13,6,Alaves,5.4,0,6,H,0,SP1,1.17,D,1.14,12,Barcelona,2005
